price,lat,long,Bathroom,Bedroom,sqft,land
52000000,6.908241,79.9023266,2,4,3500.0 sqft,14.4 perches
110000000,6.7746821,79.8826095,4,4,4000.0 sqft,67.0 perches
26000000,6.9372438,79.8962142,2,4,2500.0 sqft,10.0 perches
37500000,6.7999509,79.9231171,3,4,2700.0 sqft,7.0 perches
23000000,6.790604,79.9242726,3,3,1500.0 sqft,10.0 perches
19500000,6.8013558,79.9350979,2,4,2280.0 sqft,6.0 perches
39500000,6.8430139,79.9655312,4,4,3280.0 sqft,10.0 perches
38000000,7.0263493,79.9236484,3,4,2800.0 sqft,9.7 perches
24000000,6.8430139,79.9655312,2,3,1280.0 sqft,17.0 perches
270000000,6.9095041,79.8962176,5,6,6000.0 sqft,10.0 perches
42000000,6.8430139,79.9655312,3,4,3500.8 sqft,7.5 perches
67500000,6.8804108,79.9596235,4,5,3500.0 sqft,8.0 perches
39500000,6.8910365,79.9642922,3,4,3000.0 sqft,8.5 perches
47500000,6.8472783,79.9266082,4,4,3000.0 sqft,8.5 perches
125000000,6.8699688,79.8882835,5,5,5000.0 sqft,7.5 perches
27000000,6.8986065,80.0007844,3,4,2350.0 sqft,8.0 perches
67000000,6.8430139,79.9655312,6,7,4100.0 sqft,20.0 perches
42000000,6.8813284,79.9537507,3,4,2500.0 sqft,7.5 perches
29000000,6.790604,79.9242726,3,3,2100.0 sqft,7.0 perches
19200000,6.7999509,79.9231171,2,3,1401.0 sqft,7.8 perches
120000000,6.9021809,79.9195776,7,7,6500.0 sqft,15.0 perches
27500000,6.8772464,79.9899292,3,4,2450.0 sqft,8.13 perches
26500000,6.8772464,79.9899292,2,3,1300.0 sqft,7.0 perches
35000000,6.7746821,79.8826095,3,4,3000.0 sqft,8.0 perches
16500000,5.949596,80.5447563,1,4,2100.0 sqft,26.0 perches
36000000,6.7999509,79.9231171,3,4,2105.0 sqft,8.0 perches
65000000,6.9388614,79.8542005,2,4,2000.0 sqft,6.0 perches
37000000,6.7999509,79.9231171,2,4,6000.0 sqft,20.0 perches
37500000,6.7999509,79.9231171,3,4,2100.0 sqft,7.0 perches
32500000,6.7999509,79.9231171,3,5,2100.0 sqft,8.8 perches
18000000,6.9359592,79.9005985,1,3,3000.0 sqft,10.0 perches
27500000,6.8986065,80.0007844,3,4,2350.0 sqft,8.1 perches
56000000,6.8910274,79.9685296,4,8,4140.0 sqft,13.8 perches
13000000,6.9372438,79.8962142,2,3,3000.0 sqft,10.0 perches
59900000,6.9388614,79.8542005,6,8,4500.0 sqft,9.92 perches
69000000,6.8763201,79.9353613,4,4,2004.0 sqft,8.5 perches
38000000,6.8475403,79.9219991,3,4,3888.0 sqft,12.96 perches
34500000,6.8772464,79.9899292,4,5,3500.0 sqft,7.0 perches
185000000,6.9021809,79.9195776,5,5,3500.0 sqft,37.0 perches
33800000,6.7999509,79.9231171,3,3,1572.0 sqft,7.5 perches
29000000,6.8772464,79.9899292,2,4,6003.0 sqft,20.01 perches
26000000,6.7746821,79.8826095,2,3,1400.0 sqft,14.4 perches
31000000,6.8430139,79.9655312,3,4,2108.0 sqft,7.0 perches
59000000,6.8969567,79.9089063,2,4,4500.0 sqft,14.11 perches
45000000,6.7974474,79.8885193,2,4,2500.0 sqft,10.0 perches
37000000,6.8910274,79.9685296,2,3,1300.0 sqft,10.2 perches
13500000,6.8412384,80.0034457,1,3,1164.0 sqft,7.5 perches
44000000,6.8335379,79.8672498,2,3,1600.0 sqft,4.6 perches
32000000,6.8569456,79.9857107,3,3,2400.0 sqft,14.0 perches
47000000,6.9040723,79.9546189,5,4,3500.0 sqft,10.0 perches
18200000,6.7999509,79.9231171,2,3,1400.0 sqft,6.0 perches
47500000,6.8472783,79.9266082,4,4,2388.0 sqft,8.5 perches
31000000,6.8430139,79.9655312,2,4,1638.0 sqft,7.8 perches
26500000,6.8986065,80.0007844,4,4,1400.0 sqft,6.5 perches
22000000,6.8517186,79.961014,2,3,2051.0 sqft,14.3 perches
26000000,6.8430139,79.9655312,2,3,1350.0 sqft,7.5 perches
125000000,6.8410598,79.9017028,4,4,5000.0 sqft,20.0 perches
65000000,6.7746821,79.8826095,4,4,4000.0 sqft,13.64 perches
19800000,6.8813284,79.9537507,1,3,1200.0 sqft,8.5 perches
19500000,6.8772464,79.9899292,2,3,1200.0 sqft,6.5 perches
32500000,6.8772464,79.9899292,3,5,2850.0 sqft,12.0 perches
22000000,6.9403866,80.0008021,1,3,1143.0 sqft,8.0 perches
18500000,6.8986065,80.0007844,3,3,1200.0 sqft,6.0 perches
130000000,6.8335379,79.8672498,4,5,4500.0 sqft,27.0 perches
28500000,6.8772464,79.9899292,2,3,2300.0 sqft,6.2 perches
26500000,6.8772464,79.9899292,4,4,1400.0 sqft,6.5 perches
78000000,6.8412384,80.0034457,3,4,2500.0 sqft,60.0 perches
150000000,6.9095041,79.8962176,3,4,2800.0 sqft,14.5 perches
4200000,6.9101096,79.8531129,1,1,1200.0 sqft,1.0 perches
115000000,6.9021809,79.9195776,5,4,2700.0 sqft,10.0 perches
54000000,6.9021809,79.9195776,4,5,3500.0 sqft,14.0 perches
107500000,6.9021809,79.9195776,4,5,4900.0 sqft,8.0 perches
160000000,6.8790077,79.9218458,4,5,5500.0 sqft,21.0 perches
59000000,6.9021809,79.9195776,3,4,3000.0 sqft,6.0 perches
225000000,6.8763201,79.9353613,8,10,8250.0 sqft,20.0 perches
80000000,6.8952109,79.8905528,5,5,4200.0 sqft,9.13 perches
28000000,6.9021809,79.9195776,2,3,2000.0 sqft,10.0 perches
26000000,6.8430139,79.9655312,2,3,1300.0 sqft,7.0 perches
31000000,6.8141891,79.9574298,3,4,2100.0 sqft,7.2 perches
46000000,6.790604,79.9242726,3,4,4000.0 sqft,10.0 perches
80000000,6.8670544,79.8847353,5,6,4000.0 sqft,10.5 perches
18000000,6.8772464,79.9899292,3,3,1039.0 sqft,10.0 perches
110000000,6.8905073,79.9288928,3,4,3500.0 sqft,10.0 perches
65000000,6.8763201,79.9353613,4,4,3500.0 sqft,7.0 perches
95000000,6.8763201,79.9353613,3,4,4300.0 sqft,8.0 perches
125000000,6.8804108,79.9596235,4,4,4256.0 sqft,14.5 perches
100000000,6.8512785,79.8659769,3,4,3300.0 sqft,16.7 perches
290000000,6.8952475,79.8610777,3,4,4000.0 sqft,10.0 perches
26500000,6.8772464,79.9899292,4,4,1400.0 sqft,6.0 perches
38500000,6.9040723,79.9546189,3,4,3850.0 sqft,10.0 perches
37500000,6.9022803,79.9058162,3,4,2000.0 sqft,7.0 perches
195000000,6.8988999,79.8542039,5,6,3828.0 sqft,10.0 perches
37500000,6.7957403,79.940848,3,4,2500.0 sqft,7.0 perches
37500000,6.7999509,79.9231171,3,4,2500.0 sqft,7.0 perches
28500000,6.8772464,79.9899292,2,3,1300.0 sqft,6.2 perches
